,Cohort Year,School,Conference,Sport,State,GSR,FGR
232,2006,University of Wisconsin-Madison,Big Ten Conference,Football,WI,72,57.0
233,2006,University of Wyoming,Mountain West Conference,Football,WY,65,48.0
234,2006,Yale University,The Ivy League,Football,CT,97,
235,2006,Youngstown State University,Missouri Valley Football Conference,Football,OH,52,49.0
236,2006,University of Central Arkansas,Southland Conference,Football,AR,64,46.0
237,2006,Elon University,Southern Conference,Football,NC,80,69.0
238,2006,Gardner-Webb University,Big South Conference,Football,NC,79,65.0
239,2006,Presbyterian College,Big South Conference,Football,SC,83,65.0
240,2006,"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,Football,AR,47,37.0
241,2006,Wofford College,Southern Conference,Football,SC,88,78.0
